,codigo_postal,localidad,province
0,1601,ISLA MARTIN GARCIA,Not Found
1,1602,FLORIDA,Buenos Aires
2,1603,VILLA MARTELLI,Not Found
3,1605,CARAPACHAY,Buenos Aires
4,1607,VILLA ADELINA,Not Found
5,1609,BOULOGNE,Not Found
6,1611,DON TORCUATO,Not Found
7,1612,INGENIERO ADOLFO SOURDEAUX,Not Found
8,1613,LOS POLVORINES,Buenos Aires
9,1614,VILLA DE MAYO,Not Found
10,1615,GRAND BOURG,Not Found
11,1617,EL TALAR,Buenos Aires
12,1618,RICARDO ROJAS,Buenos Aires
13,1619,GARIN,Buenos Aires
14,1621,BENAVIDEZ,Not Found
15,1623,BARRIO GARIN NORTE,Buenos Aires
16,1625,ARROYO CANELON,Buenos Aires
17,1627,MATHEU,Buenos Aires
18,1629,ALMIRANTE IRIZAR,Buenos Aires
19,1631,VILLA ROSA,Not Found
20,1633,EMPALME,Buenos Aires
21,1635,KILOMETRO 45,Buenos Aires
22,1636,LA LUCILA,Buenos Aires
23,1638,VICENTE LOPEZ,Not Found
24,1640,ACASSUSO,Buenos Aires
25,1642,SAN ISIDRO,Not Found
26,1643,BECCAR,Not Found
27,1644,VICTORIA,Not Found
28,1646,SAN FERNANDO,Buenos Aires
29,1647,ZONA DELTA SAN FERNANDO,Entre Ríos
30,1648,RINCON DE MILBERG,Buenos Aires
31,1649,ZONA DELTA TIGRE,Not Found
32,1650,GENERAL SAN MARTIN,Not Found
33,1651,SAN ANDRES,Not Found
34,1653,VILLA BALLESTER,Not Found
35,1655,JOSE LEON SUAREZ,Not Found
36,1657,11 DE SEPTIEMBRE,Buenos Aires
37,1659,CAMPO DE MAYO,Not Found
38,1661,BELLA VISTA,Not Found
39,1663,MUÑIZ,Buenos Aires
40,1664,TRUJUI,Not Found
41,1665,JOSE CLEMENTE PAZ,Not Found
42,1667,MANUEL ALBERTI,Buenos Aires
43,1669,DEL VISO,Not Found
44,1670,NORDELTA,Not Found
45,1672,VILLA LYNCH,Not Found
46,1674,VILLA RAFFO,Buenos Aires
47,1676,SANTOS LUGARES,Not Found
48,1678,CASEROS,Not Found
49,1682,MARTIN CORONADO,Buenos Aires
50,1684,CIUDAD JARDIN DEL PALOMAR,Buenos Aires
51,1686,HURLINGHAM,Buenos Aires
52,1688,VILLA SANTOS TESEI,Not Found
53,1702,CIUDADELA,Buenos Aires
54,1704,RAMOS MEJIA,Not Found
55,1706,HAEDO,Buenos Aires
56,1708,MORON,Not Found
57,1712,CASTELAR,Not Found
58,1713,BARRIO PARQUE LELOIR,Buenos Aires
59,1714,ITUZAINGO,Not Found
60,1716,LIBERTAD,Not Found
61,1718,SAN ANTONIO DE PADUA,Not Found
62,1722,MERLO,Buenos Aires
63,1723,MARIANO ACOSTA,Not Found
64,1727,B LOS AROMOS SAN PATRICIO,Buenos Aires
65,1731,VILLARS,Not Found
66,1733,PLOMER,Not Found
67,1735,EL DURAZNO,Not Found
68,1737,KILOMETRO 77,Buenos Aires
